Question ID,Question,Category,Expected Answer,Actual Answer,Expected Source,Actual Source,Retrieval Pass,Answer Pass,Source Pass,Faithfulness,Refusal Correct,Latency (ms)
Q001,How many annual leave days are full-time employees entitled to per calendar year?,direct,All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year.,"According to enterprise policy: [Source S1]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S3]
Document: Leave_Policy.pdf
Page: 3
Section: Section 3: Sick Leave Allotment

Section 3: Sick Leave Allotment
Full-time employees receive 10 days of paid sick leave annually on January 1. Sick leave does not accumulate year-over-year. A certified medical practitioner note is mandatory for sick leave exceeding 3 consecutive business days.

---

[Source S4]
Document: Leave_Policy.pdf
Page: 1
Section: Overview

ENTERPRISE ANNUAL AND SICK LEAVE POLICY

---

[Source S5]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY [S1] [S2] [S3] [S4] [S5]",Leave_Policy.pdf,"Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf, Attendance_Policy.txt",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q002,What is the monthly accrual rate for annual paid vacation leave?,numerical,Leave accrues on a pro-rata basis at 1.25 days per month of continuous service.,"According to enterprise policy: [Source S1]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 1
Section: Overview

ENTERPRISE ANNUAL AND SICK LEAVE POLICY

---

[Source S3]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S4]
Document: Leave_Policy.pdf
Page: 3
Section: Section 3: Sick Leave Allotment

Section 3: Sick Leave Allotment
Full-time employees receive 10 days of paid sick leave annually on January 1. Sick leave does not accumulate year-over-year. A certified medical practitioner note is mandatory for sick leave exceeding 3 consecutive business days. [S1] [S2] [S3] [S4]",Leave_Policy.pdf,"Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q003,"How many unused annual vacation days can be carried forward, and when do any remaining days expire?",date,Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent year. Any additional unused leave lapses on December 31.,"According to enterprise policy: [Source S1]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S3]
Document: Leave_Policy.pdf
Page: 3
Section: Section 3: Sick Leave Allotment

Section 3: Sick Leave Allotment
Full-time employees receive 10 days of paid sick leave annually on January 1. Sick leave does not accumulate year-over-year. A certified medical practitioner note is mandatory for sick leave exceeding 3 consecutive business days. [S1] [S2] [S3]",Leave_Policy.pdf,"Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q004,"How many days of paid sick leave are provided annually, and when is a medical certificate required?",conditional,Employees receive 10 days of paid sick leave annually. A medical certificate is mandatory for sick leave exceeding 3 consecutive business days.,"According to enterprise policy: [Source S1]
Document: Leave_Policy.pdf
Page: 3
Section: Section 3: Sick Leave Allotment

Section 3: Sick Leave Allotment
Full-time employees receive 10 days of paid sick leave annually on January 1. Sick leave does not accumulate year-over-year. A certified medical practitioner note is mandatory for sick leave exceeding 3 consecutive business days.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 1
Section: Overview

ENTERPRISE ANNUAL AND SICK LEAVE POLICY

---

[Source S3]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S4]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S5]
Document: Employee_Code_of_Conduct.pdf
Page: 2
Section: Section 2: Resignation Notice Requirements

Section 2: Resignation Notice Requirements
Employees in regular individual contributor positions must provide a minimum of 30 calendar days written advance notice for voluntary resignation. Employees in management or executive roles must provide 60 calendar days advance notice. [S1] [S2] [S3] [S4] [S5]",Leave_Policy.pdf,"Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf, Employee_Code_of_Conduct.pdf",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q005,What are the standard enterprise daily working hours?,direct,Standard enterprise working hours are 9:00 AM to 5:00 PM Monday through Friday.,"According to enterprise policy: [Source S1]
Document: Attendance_Policy.txt
Page: 1
Section: Section 1: Standard Daily Schedule

Section 1: Standard Daily Schedule
Standard enterprise working hours are 9:00 AM to 5:00 PM Monday through Friday, totaling a 40-hour work week. All employees are required to record daily check-in and check-out timestamps through the enterprise portal.

---

[Source S2]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY

---

[Source S3]
Document: Attendance_Policy.txt
Page: 2
Section: Section 2: Mandatory Core Hours

Section 2: Mandatory Core Hours
Core working hours during which all team members must be actively available for meetings and synchronous team collaboration are 10:00 AM to 4:00 PM local time. Flexible arrival and departure times are permitted outside core hours with supervisor approval.

---

[Source S4]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Overview

ENTERPRISE WORK FROM HOME AND REMOTE WORK POLICY [S1] [S2] [S3] [S4]",Attendance_Policy.txt,"Attendance_Policy.txt, Attendance_Policy.txt, Attendance_Policy.txt, Work_From_Home_Policy.docx",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q006,What are the mandatory core working hours during which team members must be available?,direct,Core working hours during which all team members must be available are 10:00 AM to 4:00 PM.,"According to enterprise policy: [Source S1]
Document: Attendance_Policy.txt
Page: 2
Section: Section 2: Mandatory Core Hours

Section 2: Mandatory Core Hours
Core working hours during which all team members must be actively available for meetings and synchronous team collaboration are 10:00 AM to 4:00 PM local time. Flexible arrival and departure times are permitted outside core hours with supervisor approval.

---

[Source S2]
Document: Attendance_Policy.txt
Page: 1
Section: Section 1: Standard Daily Schedule

Section 1: Standard Daily Schedule
Standard enterprise working hours are 9:00 AM to 5:00 PM Monday through Friday, totaling a 40-hour work week. All employees are required to record daily check-in and check-out timestamps through the enterprise portal.

---

[Source S3]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY

---

[Source S4]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Section 1: Remote Work Eligibility

Section 1: Remote Work Eligibility
Full-time staff members who have completed their initial 90-day probationary period are eligible to work remotely up to 2 days per week with direct manager approval. Employees on performance improvement plans are not eligible for remote work. [S1] [S2] [S3] [S4]",Attendance_Policy.txt,"Attendance_Policy.txt, Attendance_Policy.txt, Attendance_Policy.txt, Work_From_Home_Policy.docx",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q007,How many days per week are employees permitted to work remotely under the WFH policy?,numerical,Eligible employees are permitted to work remotely up to 2 days per week with manager approval.,"According to enterprise policy: [Source S1]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Section 1: Remote Work Eligibility

Section 1: Remote Work Eligibility
Full-time staff members who have completed their initial 90-day probationary period are eligible to work remotely up to 2 days per week with direct manager approval. Employees on performance improvement plans are not eligible for remote work.

---

[Source S2]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Overview

ENTERPRISE WORK FROM HOME AND REMOTE WORK POLICY

---

[Source S3]
Document: Work_From_Home_Policy.docx
Page: 2
Section: Section 2: Workspace Security & VPN Protocols

Section 2: Workspace Security & VPN Protocols
Employees working remotely must maintain a secure, private ergonomic workspace. Remote workers must connect through the corporate VPN at all times and ensure confidential proprietary company information remains protected against unauthorized access.

---

[Source S4]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S5]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY [S1] [S2] [S3] [S4] [S5]",Work_From_Home_Policy.docx,"Work_From_Home_Policy.docx, Work_From_Home_Policy.docx, Work_From_Home_Policy.docx, Leave_Policy.pdf, Attendance_Policy.txt",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q008,What is the mandatory probationary period before staff become eligible for remote work?,numerical,Staff members must complete their initial 90-day probationary period before becoming eligible for remote work.,"According to enterprise policy: [Source S1]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Section 1: Remote Work Eligibility

Section 1: Remote Work Eligibility
Full-time staff members who have completed their initial 90-day probationary period are eligible to work remotely up to 2 days per week with direct manager approval. Employees on performance improvement plans are not eligible for remote work.

---

[Source S2]
Document: Work_From_Home_Policy.docx
Page: 2
Section: Section 2: Workspace Security & VPN Protocols

Section 2: Workspace Security & VPN Protocols
Employees working remotely must maintain a secure, private ergonomic workspace. Remote workers must connect through the corporate VPN at all times and ensure confidential proprietary company information remains protected against unauthorized access.

---

[Source S3]
Document: Attendance_Policy.txt
Page: 2
Section: Section 2: Mandatory Core Hours

Section 2: Mandatory Core Hours
Core working hours during which all team members must be actively available for meetings and synchronous team collaboration are 10:00 AM to 4:00 PM local time. Flexible arrival and departure times are permitted outside core hours with supervisor approval.

---

[Source S4]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Overview

ENTERPRISE WORK FROM HOME AND REMOTE WORK POLICY [S1] [S2] [S3] [S4]",Work_From_Home_Policy.docx,"Work_From_Home_Policy.docx, Work_From_Home_Policy.docx, Attendance_Policy.txt, Work_From_Home_Policy.docx",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q009,What security protocols and network tools must be active when working remotely?,direct,Remote employees must utilize the corporate VPN at all times and ensure sensitive company information remains confidential.,"According to enterprise policy: [Source S1]
Document: Work_From_Home_Policy.docx
Page: 2
Section: Section 2: Workspace Security & VPN Protocols

Section 2: Workspace Security & VPN Protocols
Employees working remotely must maintain a secure, private ergonomic workspace. Remote workers must connect through the corporate VPN at all times and ensure confidential proprietary company information remains protected against unauthorized access.

---

[Source S2]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Overview

ENTERPRISE WORK FROM HOME AND REMOTE WORK POLICY [S1] [S2]",Work_From_Home_Policy.docx,"Work_From_Home_Policy.docx, Work_From_Home_Policy.docx",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q010,What is the maximum daily domestic meal reimbursement allowance under the travel policy?,numerical,The maximum domestic meal reimbursement allowance is $75 per day with itemized receipts.,"According to enterprise policy: [Source S1]
Document: Travel_Policy.docx
Page: 1
Section: Section 1: Domestic Meal Allowances

Section 1: Domestic Meal Allowances
The maximum domestic meal reimbursement allowance is $75 per day with itemized receipts. Individual meal guidelines are $20 for breakfast, $25 for lunch, and $30 for dinner. Alcoholic beverages are non-reimbursable. [S1]",Travel_Policy.docx,Travel_Policy.docx,PASS,PASS,PASS,SUPPORTED,N/A,20.0
